title,author,genres
The Secret History,Donna Tartt,"['Fiction', 'Mystery', 'Contemporary', 'Literary Fiction', 'Thriller', 'Classics', 'Adult', 'Crime', 'Mystery Thriller', 'Novels']"
White Oleander,Janet Fitch (Goodreads Author),"['Fiction', 'Contemporary', 'Drama', 'Adult Fiction', 'Coming Of Age', 'Adult', 'Novels', 'Chick Lit', 'Literary Fiction', 'Young Adult']"
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)","['Nonfiction', 'Classics', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust', 'Autobiography', 'War', 'World War II']"
Delirium,Lauren Oliver (Goodreads Author),"['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Teen', 'Audiobook', 'Love', 'Post Apocalyptic']"
Beautiful Disaster,Jamie McGuire (Goodreads Author),"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'College', 'Fiction', 'Chick Lit', 'Adult', 'Love']"
Othello,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Literature', 'Theatre', 'Read For School', 'Poetry', 'Tragedy']"
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow (Goodreads Author),"['Historical Fiction', 'Egypt', 'Fiction', 'Historical', 'Philosophy', 'Literature', 'Africa', 'Romance', 'Ancient History', 'Classics']"
Paper Towns,John Green (Goodreads Author),"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Mystery', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Adventure', 'Young Adult Contemporary']"
The Vampire Lestat,Anne Rice,"['Horror', 'Fantasy', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural', 'Urban Fantasy', 'Gothic', 'Historical Fiction', 'Adult']"
Speak,Laurie Halse Anderson (Goodreads Author),"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Mental Health', 'High School', 'Coming Of Age', 'School', 'Abuse']"
The Idiot,"Fyodor Dostoyevsky, Anna Brailovsky (Translator), Eva M. Martin (Translator), Constance Garnett (Translator), Martin Geeson (Narrator), Joseph Frank (Introduction)","['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Novels', 'Philosophy', '19th Century', 'Classic Literature', 'Historical Fiction']"
King Lear,William Shakespeare,"['Classics', 'Plays', 'Drama', 'Fiction', 'School', 'Literature', 'Theatre', 'Poetry', 'Read For School', 'Tragedy']"
The Once and Future King,T.H. White,"['Fantasy', 'Classics', 'Fiction', 'Historical Fiction', 'Arthurian', 'Mythology', 'Science Fiction Fantasy', 'Young Adult', 'Literature', 'Historical']"
I Know This Much Is True,Wally Lamb (Goodreads Author),"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult Fiction', 'Mental Illness', 'Adult', 'Drama', 'Psychology', 'Literature']"
Neverwhere,Neil Gaiman (Goodreads Author),"['Fantasy', 'Fiction', 'Urban Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Science Fiction', 'Adventure', 'Horror', 'Adult', 'Young Adult']"
Into the Wild,Jon Krakauer (Goodreads Author),"['Nonfiction', 'Biography', 'Travel', 'Adventure', 'Classics', 'Memoir', 'Nature', 'Biography Memoir', 'School', 'Survival']"
Inkheart,"Cornelia Funke (Goodreads Author), Anthea Bell (Translator)","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Magic', 'Books About Books', 'Young Adult Fantasy', 'Audiobook']"
Uncle Tom's Cabin,Harriet Beecher Stowe,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'American', 'Novels', 'Classic Literature', '19th Century', 'School']"
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore (Goodreads Author),"['Fiction', 'Humor', 'Historical Fiction', 'Fantasy', 'Religion', 'Comedy', 'Historical', 'Audiobook', 'Adult', 'Adult Fiction']"
The Historian,Elizabeth Kostova,"['Fiction', 'Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Vampires', 'Historical', 'Paranormal', 'Gothic', 'Thriller']"
The Complete Sherlock Holmes,Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Short Stories', 'Detective', 'Literature', 'Mystery Thriller', 'Historical Fiction', 'Thriller']"
Candide,"Voltaire, Sara Gioacchino Corcos (Translator)","['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Humor', 'French Literature', 'School', '18th Century', 'Novels']"
James and the Giant Peach,"Roald Dahl, Quentin Blake (Illustrator)","['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Juvenile', 'Humor', 'Chapter Books']"
Invisible Man,Ralph Ellison,"['Classics', 'Fiction', 'Literature', 'African American', 'Race', 'Novels', 'Historical Fiction', 'School', 'American', 'Literary Fiction']"
Gone Girl,Gillian Flynn (Goodreads Author),"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']"
Blood River: A Journey to Africa's Broken Heart,Tim Butcher (Goodreads Author),"['Travel', 'Nonfiction', 'Africa', 'History', 'Adventure', 'Memoir', 'Biography', 'Politics', 'Travelogue', 'Autobiography']"
Paradise Lost,"John Milton, John Leonard (Editor, Contributor)","['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'Philosophy', 'School', 'Classic Literature', 'Epic']"
Leaves of Grass,Walt Whitman,"['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Philosophy', 'Classic Literature', 'School', 'The United States Of America']"
All Creatures Great and Small,James Herriot,"['Nonfiction', 'Animals', 'Memoir', 'Classics', 'Biography', 'Humor', 'Autobiography', 'Biography Memoir', 'British Literature', 'Audiobook']"
Graceling,Kristin Cashore,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Adventure', 'Young Adult Fantasy', 'Magic', 'High Fantasy', 'Teen', 'Paranormal']"
The Complete Works,William Shakespeare,"['Classics', 'Poetry', 'Fiction', 'Plays', 'Drama', 'Literature', 'Reference', 'Theatre', 'Classic Literature', 'Historical Fiction']"
The Thirteenth Tale,Diane Setterfield (Goodreads Author),"['Fiction', 'Mystery', 'Historical Fiction', 'Gothic', 'Books About Books', 'Adult', 'Historical', 'Fantasy', 'Book Club', 'Adult Fiction']"
Foundation,Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Novels', 'Space', 'Audiobook', 'Speculative Fiction']"
Norwegian Wood,"Haruki Murakami, Jay Rubin (Translator)","['Fiction', 'Japan', 'Romance', 'Japanese Literature', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Asia', 'Magical Realism']"
The Things They Carried,Tim O'Brien,"['Fiction', 'Historical Fiction', 'War', 'Classics', 'Short Stories', 'School', 'Historical', 'Military Fiction', 'Literature', 'Read For School']"
